condition,condition_label,checker_scope,attempts,replayed_writer_runs,preserved_independent_baselines,preserved_pre_writer_terminals,preserved_substantive_refusals,preserved_structured_failures,preserved_deterministic_input_gates,old_scored_reviews,new_scored_reviews,review_hashes_changed,identical_document_sets,mean_paired_document_jaccard,identical_citation_pair_sets,mean_paired_citation_pair_jaccard,old_substantive_refusals,old_structured_failures,old_deterministic_input_gates,old_clean_reviews,old_clean_pct,old_e1_mean,old_e1_sd,old_e1_events,old_e2_mean,old_e2_sd,old_e2_events,old_e3_mean,old_e3_sd,old_e3_events,old_e4_mean,old_e4_sd,old_e4_events,old_e5_mean,old_e5_sd,old_e5_events,old_n_citations_mean,old_n_citations_sd,old_n_docs_cited_mean,old_n_docs_cited_sd,old_body_words_mean,old_body_words_sd,old_body_words_min,old_body_words_max,new_substantive_refusals,new_structured_failures,new_deterministic_input_gates,new_clean_reviews,new_clean_pct,new_e1_mean,new_e1_sd,new_e1_events,new_e2_mean,new_e2_sd,new_e2_events,new_e3_mean,new_e3_sd,new_e3_events,new_e4_mean,new_e4_sd,new_e4_events,new_e5_mean,new_e5_sd,new_e5_events,new_n_citations_mean,new_n_citations_sd,new_n_docs_cited_mean,new_n_docs_cited_sd,new_body_words_mean,new_body_words_sd,new_body_words_min,new_body_words_max
phase_a_main,Full RRR (A),E1-E5,100,100,0,0,0,0,0,100,100,100,87,0.989,0,0.497,0,0,0,98,98.0,0,0.0,0,0,0.0,0,0.02,0.14,2,0,0.0,0,0,0.0,0,40.08,6.5,13.45,1.95,1919.47,261.43,1352,2995,0,0,0,100,100.0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,31.84,4.42,13.44,1.93,1682.2,252.88,1289,3020
phase_b2_rag_only,Single-pass retrieval (B2),E1-E5,100,0,100,0,0,0,0,100,100,0,0,,0,,0,0,0,87,87.0,0,0.0,0,0.01,0.1,1,0.25,1.62,25,0.1,0.39,10,0,0.0,0,10.34,3.7,8.43,2.61,703.66,81.69,510,920,0,0,0,87,87.0,0,0.0,0,0.01,0.1,1,0.25,1.62,25,0.1,0.39,10,0,0.0,0,10.34,3.7,8.43,2.61,703.66,81.69,510,920
phase_b_validation_off,Selected-check ablation (B),E1-E5,100,100,0,0,0,0,0,100,100,100,73,0.978,0,0.475,0,0,0,92,92.0,0.04,0.2,4,0,0.0,0,0.01,0.1,1,0.03,0.17,3,0,0.0,0,42.08,7.88,14.68,2.85,2042.93,364.59,1526,3268,0,0,0,95,95.0,0.05,0.22,5,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,34.09,6.97,14.59,2.86,1827.16,354.47,1275,2687
phase_c2_prompt_constrained,Corpus instruction (C2),E1,100,0,100,0,0,0,0,100,100,0,0,,0,,0,0,0,93,93.0,0.08,0.31,8,,,0,0,0.0,0,,,0,,,0,,,14.66,8.71,944.29,174.98,639,1473,0,0,0,93,93.0,0.08,0.31,8,,,0,0,0.0,0,,,0,,,0,,,14.66,8.71,944.29,174.98,639,1473
phase_c_unrestricted,Unrestricted generation (C),E1,100,0,100,0,0,0,0,100,100,0,0,,0,,0,0,0,7,7.0,9.03,4.97,903,,,0,0,0.0,0,,,0,,,0,,,1.82,2.16,847.68,112.98,650,1206,0,0,0,7,7.0,9.03,4.97,903,,,0,0,0.0,0,,,0,,,0,,,1.82,2.16,847.68,112.98,650,1206
phase_d0_gibberish,Gibberish topic (D0),E1-E5,10,0,0,10,0,0,10,0,0,0,0,,0,,0,0,10,0,,,,0,,,0,,,0,,,0,,,0,,,,,,,,,0,0,10,0,,,,0,,,0,,,0,,,0,,,0,,,,,,,,
phase_d1_high_threshold,High threshold (D1),E1-E5,100,100,0,0,0,0,0,100,100,100,87,0.989,0,0.511,0,0,0,93,93.0,0,0.0,0,0,0.0,0,0.04,0.24,4,0.03,0.17,3,0.01,0.1,1,42.12,9.01,14.64,3.0,2054.45,415.3,1415,3470,0,0,0,100,100.0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,34.64,7.2,14.64,2.99,1828.21,390.13,1151,3156
phase_d2_narrow_prompt,Narrow prompt (D2),E1-E5,100,0,0,100,100,0,0,0,0,0,0,,0,,100,0,0,0,,,,0,,,0,,,0,,,0,,,0,,,,,,,,,100,0,0,0,,,,0,,,0,,,0,,,0,,,0,,,,,,,,
phase_d3_marginal_fit,Marginal fit (D3),E1-E5,100,0,0,100,100,0,0,0,0,0,0,,0,,100,0,0,0,,,,0,,,0,,,0,,,0,,,0,,,,,,,,,100,0,0,0,,,,0,,,0,,,0,,,0,,,0,,,,,,,,
phase_f1_adversarial_irrelevant,Institutional irrelevance (F1),E1-E5,100,100,0,0,0,0,0,100,100,100,84,0.986,0,0.508,0,0,0,96,96.0,0.02,0.14,2,0,0.0,0,0,0.0,0,0.01,0.1,1,0.01,0.1,1,33.69,5.38,11.77,2.21,1654.77,267.68,891,2531,0,0,0,98,98.0,0,0.0,0,0,0.0,0,0.01,0.1,1,0,0.0,0,0.01,0.1,1,28.48,4.78,11.84,2.3,1532.77,255.78,901,2300
