guardrail,source,key,runs,old_runs_fired,old_runs_fired_pct,old_events,old_mean_per_run,old_max_per_run,new_runs_fired,new_runs_fired_pct,new_events,new_mean_per_run,new_max_per_run
Invalid-citation sentence removal,quality,invalid_citations_removed,100,14,14.0,20,0.2,4,2,2.0,2,0.02,1
Unknown evidence-id markers,quality,unknown_evidence_ids,100,1,1.0,2,0.02,2,15,15.0,26,0.26,4
Attribution mismatches (renderer gate),quality,attribution_mismatches,100,63,63.0,119,1.19,6,48,48.0,78,0.78,4
Attribution retries,quality,attribution_retries,100,63,63.0,79,0.79,3,48,48.0,55,0.55,3
Attribution retries accepted,counter,writer_attribution_retry_accepted,100,51,51.0,58,0.58,3,38,38.0,45,0.45,3
Zero-citation paragraph drop,quality,zero_cite_paragraphs_dropped,100,97,97.0,399,3.99,13,100,100.0,438,4.38,12
Unverified-quotation strips,counter,writer_fabricated_quotes_stripped,100,13,13.0,15,0.15,2,14,14.0,17,0.17,3
Stitch rewrites reverted (citation drift),value,writer_stitch_skipped_citation_change,100,39,39.0,78,0.78,6,37,37.0,60,0.6,5
Coverage fallback sentences,counter,writer_section_coverage_fallbacks,100,34,34.0,55,0.55,3,29,29.0,52,0.52,4
Redundant passages removed,quality,redundancy_drops,100,100,100.0,793,7.93,15,100,100.0,981,9.81,18
Style sentences removed,quality,style_sentences_removed,100,100,100.0,868,8.68,17,100,100.0,853,8.53,16
Double parentheses collapsed,quality,double_paren_collapsed,100,98,98.0,802,8.02,23,99,99.0,1138,11.38,25
