model_tag,model,probe,attempts,replayed_reviews,old_clean_reviews,old_reviews_with_error,old_postcomposition_failures,old_substantive_refusals,old_structured_failures,old_e1_mean,old_e2_mean,old_e3_mean,old_e4_mean,old_e5_mean,old_n_citations_mean,old_n_docs_cited_mean,old_body_words_mean,old_body_words_sd,new_clean_reviews,new_reviews_with_error,new_postcomposition_failures,new_substantive_refusals,new_structured_failures,new_e1_mean,new_e2_mean,new_e3_mean,new_e4_mean,new_e5_mean,new_n_citations_mean,new_n_docs_cited_mean,new_body_words_mean,new_body_words_sd,outcome_counts_changed
gemma3:12b,Gemma 3 12B,far,20,0,0,0,0,20,0,,,,,,,,,,0,0,0,20,0,,,,,,,,,,False
gemma3:12b,Gemma 3 12B,flagship,25,25,24,1,0,0,0,0,0,0.12,0,0,59.2,21.84,1784.44,239.22,25,0,0,0,0,0,0,0,0,0,50.64,21.64,1641.96,182.18,True
gemma3:12b,Gemma 3 12B,mid,20,0,0,0,0,20,0,,,,,,,,,,0,0,0,20,0,,,,,,,,,,False
gemma3:12b,Gemma 3 12B,near,20,0,0,0,0,20,0,,,,,,,,,,0,0,0,20,0,,,,,,,,,,False
gemma3:12b,Gemma 3 12B,wordsalad,20,0,0,0,0,20,0,,,,,,,,,,0,0,0,20,0,,,,,,,,,,False
gemma3:1b,Gemma 3 1B,far,20,0,0,0,0,0,20,,,,,,,,,,0,0,0,0,20,,,,,,,,,,False
gemma3:1b,Gemma 3 1B,flagship,25,3,0,3,0,0,22,0,0,3,0,0,32.67,17.33,1931.33,967.19,1,2,0,0,22,0,0,1.67,0.67,0,20,16.33,792.67,355.4,True
gemma3:1b,Gemma 3 1B,mid,20,0,0,0,0,0,20,,,,,,,,,,0,0,0,0,20,,,,,,,,,,False
gemma3:1b,Gemma 3 1B,near,20,6,2,4,0,0,14,0,0,3,1.67,0.33,21.33,16.33,879.5,469.51,1,5,0,0,14,0,0,3,0.33,0,19.5,16.5,1149.83,350.94,True
gemma3:1b,Gemma 3 1B,wordsalad,20,0,0,0,0,0,20,,,,,,,,,,0,0,0,0,20,,,,,,,,,,False
gemma3:270m,Gemma 3 270M,far,20,0,0,0,0,0,20,,,,,,,,,,0,0,0,0,20,,,,,,,,,,False
gemma3:270m,Gemma 3 270M,flagship,25,0,0,0,0,0,25,,,,,,,,,,0,0,0,0,25,,,,,,,,,,False
gemma3:270m,Gemma 3 270M,mid,20,0,0,0,0,0,20,,,,,,,,,,0,0,0,0,20,,,,,,,,,,False
gemma3:270m,Gemma 3 270M,near,20,0,0,0,0,0,20,,,,,,,,,,0,0,0,0,20,,,,,,,,,,False
gemma3:270m,Gemma 3 270M,wordsalad,20,0,0,0,0,0,20,,,,,,,,,,0,0,0,0,20,,,,,,,,,,False
gemma3:4b,Gemma 3 4B,far,20,0,0,0,0,20,0,,,,,,,,,,0,0,0,20,0,,,,,,,,,,False
gemma3:4b,Gemma 3 4B,flagship,25,0,0,0,0,25,0,,,,,,,,,,0,0,0,25,0,,,,,,,,,,False
gemma3:4b,Gemma 3 4B,mid,20,0,0,0,0,20,0,,,,,,,,,,0,0,0,20,0,,,,,,,,,,False
