condition,doc_id,runs,old_reviews,new_reviews,delta_reviews,old_share_pct,new_share_pct
phase_a_main,AcemogluEtAl_2001,100,100,100,0,100.0,100.0
phase_a_main,AcemogluEtAl_2002,100,99,100,1,99.0,100.0
phase_a_main,Akyeampong&Fofack_2014,100,22,22,0,22.0,22.0
phase_a_main,Austin_2008,100,96,95,-1,96.0,95.0
phase_a_main,Bolt&vanZanden_2014,100,2,2,0,2.0,2.0
phase_a_main,Broadberry&Gardner_2022,100,53,54,1,53.0,54.0
phase_a_main,Broadberry&Gupta_2006,100,15,15,0,15.0,15.0
phase_a_main,Frankema&vanWaijenburg_2012,100,70,70,0,70.0,70.0
phase_a_main,Frankema_2012,100,54,53,-1,54.0,53.0
phase_a_main,Hopkins_2009,100,61,61,0,61.0,61.0
phase_a_main,Kuznets_1973,100,95,92,-3,95.0,92.0
phase_a_main,Mokyr_2005,100,93,93,0,93.0,93.0
phase_a_main,North&Weingast_1989,100,99,100,1,99.0,100.0
phase_a_main,North_1989,100,100,100,0,100.0,100.0
phase_a_main,Nunn&Wantchekon_2011,100,89,91,2,89.0,91.0
phase_a_main,Nunn_2008,100,71,71,0,71.0,71.0
phase_a_main,Ogilvie_2007,100,93,93,0,93.0,93.0
phase_a_main,Pamuk_2007,100,11,11,0,11.0,11.0
phase_a_main,Peters_2004,100,2,2,0,2.0,2.0
phase_a_main,Simson_2019,100,7,7,0,7.0,7.0
phase_a_main,Sokoloff&Engerman_2000,100,95,94,-1,95.0,94.0
phase_a_main,Stern_2004,100,1,1,0,1.0,1.0
phase_a_main,vanZanden_1999,100,10,10,0,10.0,10.0
phase_a_main,vanZanden_2009,100,7,7,0,7.0,7.0
phase_t1_gender,AcemogluEtAl_2002,30,30,30,0,100.0,100.0
phase_t1_gender,Akyeampong&Fofack_2014,30,30,30,0,100.0,100.0
phase_t1_gender,Austin_2008,30,26,28,2,86.7,93.3
phase_t1_gender,Broadberry&Gardner_2022,30,28,27,-1,93.3,90.0
phase_t1_gender,Broadberry&Gupta_2006,30,15,17,2,50.0,56.7
phase_t1_gender,Goldin_2006,30,30,30,0,100.0,100.0
phase_t1_gender,Koepke&Baten_2005,30,26,26,0,86.7,86.7
phase_t1_gender,Komlos_1998,30,28,28,0,93.3,93.3
phase_t1_gender,Kuznets_1973,30,26,26,0,86.7,86.7
phase_t1_gender,Lindert&Williamson_1985,30,18,19,1,60.0,63.3
phase_t1_gender,McCloskey_2015,30,19,19,0,63.3,63.3
phase_t1_gender,Mokyr_2005,30,27,27,0,90.0,90.0
phase_t1_gender,North&Weingast_1989,30,25,27,2,83.3,90.0
phase_t1_gender,North_1989,30,22,22,0,73.3,73.3
phase_t1_gender,Nunn_2008,30,20,18,-2,66.7,60.0
phase_t1_gender,Ogilvie_2007,30,15,14,-1,50.0,46.7
phase_t1_gender,Pamuk_2007,30,19,19,0,63.3,63.3
phase_t1_gender,Simson_2019,30,11,11,0,36.7,36.7
phase_t1_gender,Sokoloff&Engerman_2000,30,29,29,0,96.7,96.7
phase_t1_gender,Stern_2004,30,8,8,0,26.7,26.7
phase_t1_gender,Temin_2002,30,26,24,-2,86.7,80.0
phase_t1_gender,deVries_1994,30,26,26,0,86.7,86.7
phase_t1_gender,vanZanden_1999,30,17,18,1,56.7,60.0
phase_t1_gender,vanZanden_2009,30,18,18,0,60.0,60.0
phase_t2_colonial,AcemogluEtAl_2001,30,30,30,0,100.0,100.0
phase_t2_colonial,AcemogluEtAl_2002,30,30,30,0,100.0,100.0
phase_t2_colonial,Akyeampong&Fofack_2014,30,10,10,0,33.3,33.3
phase_t2_colonial,Austin_2007,30,29,29,0,96.7,96.7
phase_t2_colonial,Austin_2008,30,29,29,0,96.7,96.7
phase_t2_colonial,Broadberry&Gardner_2022,30,18,18,0,60.0,60.0
phase_t2_colonial,Bryant_2006,30,4,4,0,13.3,13.3
phase_t2_colonial,Bryceson_2002,30,9,8,-1,30.0,26.7
phase_t2_colonial,Frankema&vanWaijenburg_2012,30,26,26,0,86.7,86.7
phase_t2_colonial,Frankema_2012,30,22,21,-1,73.3,70.0
phase_t2_colonial,Hopkins_2009,30,29,29,0,96.7,96.7
phase_t2_colonial,Hopkins_2019,30,18,18,0,60.0,60.0
phase_t2_colonial,McCloskey_2015,30,1,1,0,3.3,3.3
