condition,generation,runs,citation_manifest_surfaces,corpus_bound_surfaces,unbound_or_e1_surfaces,outside_first_two_passage_surfaces,outside_share_pct_of_bound,runs_with_outside_surface,affected_runs_pct,selected_first_two_passages,selected_passages_gt_260_chars,selected_passages_gt_260_chars_pct
__all_replayed_writer_runs__,old,941,28812,28801,11,6830,23.714,797,84.7,44468,42038,94.535
__all_replayed_writer_runs__,new,941,29362,29354,8,0,0.0,0,0.0,44468,42038,94.535
phase_a_main,old,100,3276,3276,0,925,28.236,100,100.0,4800,4700,97.917
phase_a_main,new,100,3184,3184,0,0,0.0,0,0.0,4800,4700,97.917
phase_b_validation_off,old,100,3423,3419,4,1003,29.336,100,100.0,4800,4700,97.917
phase_b_validation_off,new,100,3409,3404,5,0,0.0,0,0.0,4800,4700,97.917
phase_d1_high_threshold,old,100,3336,3336,0,863,25.869,99,99.0,4800,4700,97.917
phase_d1_high_threshold,new,100,3464,3464,0,0,0.0,0,0.0,4800,4700,97.917
phase_f1_adversarial_irrelevant,old,100,2557,2555,2,637,24.932,100,100.0,4800,4460,92.917
phase_f1_adversarial_irrelevant,new,100,2848,2848,0,0,0.0,0,0.0,4800,4460,92.917
phase_f2_adversarial_culture,old,100,3195,3195,0,886,27.731,100,100.0,4800,4500,93.75
phase_f2_adversarial_culture,new,100,3263,3263,0,0,0.0,0,0.0,4800,4500,93.75
phase_g_gemma3_12b,old,25,1354,1354,0,267,19.719,25,100.0,1200,1200,100.0
phase_g_gemma3_12b,new,25,1266,1266,0,0,0.0,0,0.0,1200,1200,100.0
phase_g_gemma3_1b,old,3,98,98,0,33,33.673,3,100.0,144,135,93.75
phase_g_gemma3_1b,new,3,60,60,0,0,0.0,0,0.0,144,135,93.75
phase_g_gemma3_1b_refusal_near,old,6,128,128,0,17,13.281,3,50.0,288,252,87.5
phase_g_gemma3_1b_refusal_near,new,6,117,117,0,0,0.0,0,0.0,288,252,87.5
phase_g_ministral-3_3b,old,25,746,746,0,144,19.303,25,100.0,1200,1100,91.667
phase_g_ministral-3_3b,new,25,800,800,0,0,0.0,0,0.0,1200,1100,91.667
phase_g_ministral-3_3b_refusal_near,old,3,54,54,0,15,27.778,3,100.0,144,129,89.583
