doc_id,document,flagship_runs,flagship_share_pct,gender_runs,gender_share_pct,colonial_runs,colonial_share_pct,irrelevance_runs,irrelevance_share_pct,culture_runs,culture_share_pct
Abramovitz_1986,Abramovitz (1986),0,0.0,0,0.0,0,0.0,45,45.0,22,22.0
AcemogluEtAl_2001,"Acemoglu, Johnson, and Robinson (2001)",100,100.0,0,0.0,30,100.0,100,100.0,100,100.0
AcemogluEtAl_2002,"Acemoglu, Johnson, and Robinson (2002)",100,100.0,30,100.0,30,100.0,99,99.0,100,100.0
Akyeampong&Fofack_2014,Akyeampong and Fofack (2014),22,22.0,30,100.0,10,33.3,9,9.0,47,47.0
Austin_2007,Austin (2007),0,0.0,0,0.0,29,96.7,0,0.0,0,0.0
Austin_2008,Austin (2008),95,95.0,28,93.3,29,96.7,39,39.0,89,89.0
Bolt&vanZanden_2014,Bolt and van Zanden (2014),2,2.0,0,0.0,0,0.0,0,0.0,0,0.0
Broadberry&Gardner_2022,Broadberry and Gardner (2022),54,54.0,27,90.0,18,60.0,0,0.0,28,28.0
Broadberry&Gupta_2006,Broadberry and Gupta (2006),15,15.0,17,56.7,0,0.0,41,41.0,71,71.0
Bryant_2006,Bryant (2006),0,0.0,0,0.0,4,13.3,23,23.0,24,24.0
Bryceson_2002,Bryceson (2002),0,0.0,0,0.0,8,26.7,0,0.0,0,0.0
Clark&Jacks_2007,Clark and Jacks (2007),0,0.0,0,0.0,0,0.0,29,29.0,0,0.0
deVries_1994,de Vries (1994),0,0.0,26,86.7,0,0.0,0,0.0,19,19.0
Domar_1970,Domar (1970),0,0.0,0,0.0,0,0.0,40,40.0,0,0.0
Frankema_2012,Frankema (2012),53,53.0,0,0.0,21,70.0,0,0.0,0,0.0
Frankema&vanWaijenburg_2012,Frankema and van Waijenburg (2012),70,70.0,0,0.0,26,86.7,0,0.0,0,0.0
Goldin_2006,Goldin (2006),0,0.0,30,100.0,0,0.0,0,0.0,44,44.0
Hopkins_2009,Hopkins (2009),61,61.0,0,0.0,29,96.7,11,11.0,26,26.0
Hopkins_2019,Hopkins (2019),0,0.0,0,0.0,18,60.0,0,0.0,0,0.0
Hornbeck_2010,Hornbeck (2010),0,0.0,0,0.0,0,0.0,81,81.0,19,19.0
Koepke&Baten_2005,Koepke and Baten (2005),0,0.0,26,86.7,0,0.0,0,0.0,0,0.0
Komlos_1998,Komlos (1998),0,0.0,28,93.3,0,0.0,59,59.0,0,0.0
Kuznets_1973,Kuznets (1973),92,92.0,26,86.7,0,0.0,60,60.0,0,0.0
Lindert&Williamson_1985,Lindert and Williamson (1985),0,0.0,19,63.3,0,0.0,6,6.0,0,0.0
McCloskey_2015,McCloskey (2015),0,0.0,19,63.3,1,3.3,0,0.0,75,75.0
Mokyr_2005,Mokyr (2005),93,93.0,27,90.0,0,0.0,59,59.0,73,73.0
North_1989,North (1989),100,100.0,22,73.3,14,46.7,97,97.0,100,100.0
North&Weingast_1989,North and Weingast (1989),100,100.0,27,90.0,14,46.7,99,99.0,100,100.0
Nunn_2008,Nunn (2008),71,71.0,18,60.0,30,100.0,18,18.0,92,92.0
Nunn&Wantchekon_2011,Nunn and Wantchekon (2011),91,91.0,0,0.0,30,100.0,0,0.0,100,100.0
Ogilvie_2007,Ogilvie (2007),93,93.0,14,46.7,1,3.3,76,76.0,86,86.0
Pamuk_2007,Pamuk (2007),11,11.0,19,63.3,3,10.0,54,54.0,33,33.0
Peters_2004,Peters (2004),2,2.0,0,0.0,4,13.3,0,0.0,0,0.0
Simson_2019,Simson (2019),7,7.0,11,36.7,0,0.0,0,0.0,0,0.0
Sokoloff&Engerman_2000,Sokoloff and Engerman (2000),94,94.0,29,96.7,7,23.3,59,59.0,89,89.0
Stern_2004,Stern (2004),1,1.0,8,26.7,0,0.0,3,3.0,3,3.0
Temin_2002,Temin (2002),0,0.0,24,80.0,0,0.0,28,28.0,0,0.0
vanZanden_1999,van Zanden (1999),10,10.0,18,60.0,0,0.0,32,32.0,26,26.0
vanZanden_2009,van Zanden (2009),7,7.0,18,60.0,0,0.0,7,7.0,5,5.0
Whatley_2018,Whatley (2018),0,0.0,0,0.0,0,0.0,9,9.0,0,0.0
Williamson_1996,Williamson (1996),0,0.0,0,0.0,0,0.0,1,1.0,0,0.0
