doc_id,document,flagship_runs,flagship_share_pct,gender_runs,gender_share_pct,colonial_runs,colonial_share_pct
AcemogluEtAl_2001,"Acemoglu, Johnson, and Robinson (2001)",100,100.0,0,0.0,30,100.0
AcemogluEtAl_2002,"Acemoglu, Johnson, and Robinson (2002)",99,99.0,30,100.0,30,100.0
Akyeampong&Fofack_2014,Akyeampong and Fofack (2014),22,22.0,30,100.0,10,33.3
Austin_2007,Austin (2007),0,0.0,0,0.0,29,96.7
Austin_2008,Austin (2008),96,96.0,26,86.7,29,96.7
Bolt&vanZanden_2014,Bolt and van Zanden (2014),2,2.0,0,0.0,0,0.0
Broadberry&Gardner_2022,Broadberry and Gardner (2022),53,53.0,28,93.3,18,60.0
Broadberry&Gupta_2006,Broadberry and Gupta (2006),15,15.0,15,50.0,0,0.0
Bryant_2006,Bryant (2006),0,0.0,0,0.0,4,13.3
Bryceson_2002,Bryceson (2002),0,0.0,0,0.0,9,30.0
deVries_1994,de Vries (1994),0,0.0,26,86.7,0,0.0
Frankema_2012,Frankema (2012),54,54.0,0,0.0,22,73.3
Frankema&vanWaijenburg_2012,Frankema and van Waijenburg (2012),70,70.0,0,0.0,26,86.7
Goldin_2006,Goldin (2006),0,0.0,30,100.0,0,0.0
Hopkins_2009,Hopkins (2009),61,61.0,0,0.0,29,96.7
Hopkins_2019,Hopkins (2019),0,0.0,0,0.0,18,60.0
Koepke&Baten_2005,Koepke and Baten (2005),0,0.0,26,86.7,0,0.0
Komlos_1998,Komlos (1998),0,0.0,28,93.3,0,0.0
Kuznets_1973,Kuznets (1973),95,95.0,26,86.7,0,0.0
Lindert&Williamson_1985,Lindert and Williamson (1985),0,0.0,18,60.0,0,0.0
McCloskey_2015,McCloskey (2015),0,0.0,19,63.3,1,3.3
Mokyr_2005,Mokyr (2005),93,93.0,27,90.0,0,0.0
North_1989,North (1989),100,100.0,22,73.3,14,46.7
North&Weingast_1989,North and Weingast (1989),99,99.0,25,83.3,15,50.0
Nunn_2008,Nunn (2008),71,71.0,20,66.7,30,100.0
Nunn&Wantchekon_2011,Nunn and Wantchekon (2011),89,89.0,0,0.0,30,100.0
Ogilvie_2007,Ogilvie (2007),93,93.0,15,50.0,1,3.3
Pamuk_2007,Pamuk (2007),11,11.0,19,63.3,3,10.0
Peters_2004,Peters (2004),2,2.0,0,0.0,4,13.3
Simson_2019,Simson (2019),7,7.0,11,36.7,0,0.0
Sokoloff&Engerman_2000,Sokoloff and Engerman (2000),95,95.0,29,96.7,7,23.3
Stern_2004,Stern (2004),1,1.0,8,26.7,0,0.0
Temin_2002,Temin (2002),0,0.0,26,86.7,0,0.0
vanZanden_1999,van Zanden (1999),10,10.0,17,56.7,0,0.0
vanZanden_2009,van Zanden (2009),7,7.0,18,60.0,0,0.0
