doc_id,Document,Reviews,Share %
AcemogluEtAl_2001,"Acemoglu, Johnson, and Robinson (2001)",100,100.0
North_1989,North (1989),100,100.0
AcemogluEtAl_2002,"Acemoglu, Johnson, and Robinson (2002)",99,99.0
North&Weingast_1989,North and Weingast (1989),99,99.0
Austin_2008,Austin (2008),96,96.0
Kuznets_1973,Kuznets (1973),95,95.0
Sokoloff&Engerman_2000,Sokoloff and Engerman (2000),95,95.0
Mokyr_2005,Mokyr (2005),93,93.0
Ogilvie_2007,Ogilvie (2007),93,93.0
Nunn&Wantchekon_2011,Nunn and Wantchekon (2011),89,89.0
